,One-seater,Two-seater,Four-seater,Staff,Store_to_seating,Expand,Ordered,LeaveSeating,OneSeaterUtil,OrderQueueTime,LeaveQueue,TakeawayTime,EntitiesIn,EntitiesOut,OneSeaterDeliveryTime,TwoSeaterDeliveryTime,FourSeaterDeliveryTime,StaffUtil
57619,77,4,7,4,0,1,3110,906,0.155,2.218,0,83.971,2902.7,2882.2,41.54,39.99,42.182,0.294
30950,31,24,15,3,1,1,4027,0,0.385,19.739,0,86.542,2895.5,2867,41.558,41.171,40.567,0.501
24272,23,39,3,3,0,1,3920,97,0.517,17.516,0,86.718,2900.2,2872.9,41.315,41.326,42.766,0.49
49075,58,16,11,4,1,1,3923,79,0.204,3.95,0,85.241,2887.3,2856.1,40.907,40.992,40.553,0.365
2674,2,18,20,3,0,1,2970,1075,0.921,9.122,0,85.685,2913.9,2895.8,41.091,41.451,42.235,0.374
6159,5,25,4,4,1,0,3202,824,0.9,2.089,0,84.3,2901,2880.7,39.665,40.887,41.874,0.3
15864,14,45,7,3,1,1,3880,151,0.76,17.723,0,84.627,2916,2887.9,40.531,41.686,40.739,0.485
2154,1,56,1,3,0,1,2645,1410,0.932,6.703,0,85.517,2920.3,2905.7,40.564,41.85,41.573,0.343
34928,36,26,9,3,0,1,4033,1,0.334,20.097,0,87.39,2907.3,2876.1,41.356,40.95,41.427,0.503
41129,45,9,13,4,0,1,3575,468,0.262,3.086,0,86.494,2902.7,2879.7,40.823,40.949,42.113,0.335
38230,41,2,5,3,1,0,2906,1095,0.289,8.555,0,84.322,2891.6,2872.1,41.234,42.141,41.928,0.371
39943,43,21,9,4,0,1,4002,8,0.277,4.029,0,85.941,2894.2,2864.3,41.901,41.131,40.14,0.374
59451,82,5,11,4,1,1,3217,827,0.147,2.381,0,83.816,2915.4,2896.1,41.017,41.335,40.782,0.303
38859,42,0,19,4,0,1,2739,1309,0.287,1.05,0,86.182,2920.4,2903.8,40.835,---,41.364,0.263
37580,40,7,16,3,0,1,3399,624,0.297,13.208,0,85.33,2896.8,2876.8,41.262,41.572,40.432,0.426
51731,63,21,2,4,0,1,3883,182,0.193,3.77,0,85.785,2939.3,2914.4,40.62,41.14,39.392,0.367
48469,57,11,15,4,1,1,3736,313,0.211,3.771,0,84.625,2919.7,2892.4,41.259,41.274,41.646,0.351
6009,5,17,19,4,0,1,3246,805,0.898,2.447,0,83.602,2913.1,2891.7,41.522,41.917,40.442,0.306
48288,57,0,2,3,1,0,2552,1496,0.21,5.72,0,84.424,2911.5,2897,40.843,---,40.881,0.329
2205,1,60,4,4,1,1,2837,1176,0.933,1.374,0,83.28,2894,2879.1,39.865,41.814,41.956,0.269
43138,48,12,18,3,1,1,3816,250,0.253,17.602,0,85.368,2916.1,2892.8,41.207,41.673,41.502,0.477
50492,61,3,19,3,1,1,3021,1001,0.196,9.403,0,85.615,2906.5,2887.9,40.763,41.054,42.849,0.384
57997,78,5,8,4,0,1,3212,824,0.155,2.391,0,84.183,2911.1,2891.7,41.209,41.345,40.521,0.303
42813,47,36,4,4,1,1,3941,53,0.247,3.394,0,84.863,2886.8,2861.4,41.294,41.093,42.976,0.368
38760,41,38,1,3,0,1,3748,277,0.294,15.23,0,84.986,2912.7,2887.6,40.816,41.218,40.728,0.473
56152,73,13,6,3,0,1,3805,191,0.164,16.851,0,85.076,2876.9,2853.4,41.402,40.442,40.761,0.474
4431,3,59,3,4,1,1,2976,1038,0.914,2.095,0,84.564,2884.8,2866.9,41.004,41.249,41.555,0.283
67879,124,5,0,4,1,1,2839,1204,0.096,1.557,0,85.957,2911,2890.8,40.788,40.459,---,0.275
38627,41,27,12,4,1,1,4034,0,0.291,4.306,0,85.46,2906.2,2877.4,41.035,40.945,40.147,0.376
252,0,11,24,3,0,1,2467,1523,0,5.462,0,85.984,2881.9,2869.2,---,40.799,41.769,0.316
34165,35,27,8,4,0,1,4026,1,0.34,4.162,0,85.466,2899.9,2869.3,41.031,41.059,40.274,0.375
36062,38,5,6,3,1,0,3225,823,0.318,12.513,0,86.355,2920.1,2898.1,41.12,41.759,41.498,0.409
11658,10,36,8,3,0,1,3659,392,0.84,15.612,0,86.62,2927.9,2903.4,40.541,41.317,40.544,0.459
14042,12,61,0,3,1,1,3378,623,0.8,12.845,0,85.686,2880.4,2859.6,41.429,41.118,---,0.43
